id,name,name_length,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1,Consomme printaniere royal,26,8,9,1897,1927,0.2,0.4
2,Chicken gumbo,13,110,116,1895,1960,0.1,0.8
3,Tomato aux croutons,19,13,13,1893,1917,0.25,0.4
4,Onion au gratin,15,41,41,1900,1971,0.25,1
5,St. Emilion,11,66,68,1881,1981,0,18
7,Radishes,8,3265,3349,1854,2928,0,25
8,Chicken soup with rice,22,48,49,1897,1961,0.1,0.6
9,Clam broth (cup),16,15,17,1899,1962,0.15,0.4
11,Clear green turtle,18,157,157,1893,1937,0.25,60
13,Anchovies,9,453,484,1858,1987,0,30
16,Pim-olas,8,145,148,1897,1918,0.15,35
17,Caviar,6,505,534,1880,1987,0,75
18,Sardines,8,1425,1483,1856,2928,0,50
20,Pickles,7,454,473,1852,1987,0,10
21,English walnuts,15,83,86,1851,1948,0.1,0.3
23,Pomard,6,11,11,1880,1950,0.75,5
26,Clams,5,171,181,1881,1970,0.1,0.9
27,Oysters,7,289,292,1862,1963,0,35
31,Sliced Bananas,14,220,238,1900,1987,0,15
33,Sliced Tomatoes,15,1195,1256,1873,2928,0,25
35,Smoked beef in cream,20,21,21,1896,1933,0.3,0.9
40,Breakfast,9,28,28,1900,1967,0.25,1
41,Strawberries,12,303,338,1854,1985,0,50
42,Preserved figs,14,257,259,1889,1969,0,30
43,BLUE POINTS,11,869,892,1881,1968,0.15,50
45,CREAM OF CAULIFLOWER,20,18,18,1899,1949,0.1,0.5
47,SLICED CUCUMBERS,16,455,458,1881,1964,0,25
48,SALTED ALMONDS,14,774,783,1889,2012,0,10
50,Cracked Wheat,13,120,124,1859,1917,0.1,0.3
51,Malt Breakfast Food,19,63,64,1899,1917,0.1,0.35
53,Young Onions,12,157,157,1894,1949,0.05,10
54,Pears,5,631,650,1852,1974,0,50
55,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING",40,11,12,1900,1974,0,0.75
59,Rockaways,9,157,162,1889,1948,0.2,50
61,BROWNED POTATOES,16,55,58,1893,1980,0.25,20
63,Apfelsinen,10,181,184,1899,1935,,
64,Ananas,6,94,104,1884,1978,0,0.95
66,Grape fruit,11,715,749,1895,1968,0,2540
67,Oranges,7,1423,1479,1851,2012,0,25
68,Clam Fritters,13,258,270,1880,1959,0.15,50
76,Chambertin,10,239,251,1851,1977,0,250
77,St. Julien,10,336,391,1851,1970,0,175
78,Vegetable,9,107,115,1892,1987,0,1.75
80,Puree of split peas aux croutons,32,11,11,1900,1917,0.05,0.35
